elev,presence,presence01
2159,Absent,0
2284,Absent,0
2601,Present,1
2272,Absent,0
2691,Present,1
2351,Absent,0
2574,Present,1
2657,Present,1
2310,Absent,0
2707,Present,1
2499,Absent,0
2431,Present,1
2259,Absent,0
2458,Absent,0
2411,Present,1
2409,Present,1
2086,Absent,0
2648,Present,1
2611,Present,1
2572,Present,1
2019,Absent,0
2230,Present,1
2248,Absent,0
2207,Absent,0
2253,Absent,0
2348,Present,1
2220,Absent,0
2398,Present,1
2388,Present,1
2738,Present,1
2469,Absent,0
2692,Present,1
2710,Absent,0
2702,Present,1
2177,Absent,0
2738,Present,1
2244,Absent,0
2194,Absent,0
2672,Present,1
2253,Absent,0
2391,Present,1
2069,Absent,0
2113,Absent,0
2117,Absent,0
2366,Present,1
2430,Absent,0
2314,Absent,0
2210,Absent,0
2383,Absent,0
2638,Present,1
2668,Present,1
2096,Absent,0
2648,Absent,0
2069,Absent,0
2177,Absent,0
2214,Absent,0
2124,Absent,0
2143,Absent,0
2070,Absent,0
2316,Present,1
2631,Present,1
2067,Absent,0
2063,Absent,0
2667,Absent,0
2588,Present,1
2415,Present,1
2366,Absent,0
2077,Absent,0
2204,Absent,0
2319,Absent,0
2174,Absent,0
2574,Present,1
2007,Absent,0
2039,Absent,0
2098,Absent,0
2437,Present,1
2632,Present,1
2064,Absent,0
2630,Absent,0
2277,Present,1
2685,Present,1
2526,Present,1
2470,Present,1
2368,Absent,0
2390,Present,1
2345,Absent,0
2053,Absent,0
2452,Present,1
2682,Present,1
2062,Absent,0
2726,Present,1
2615,Present,1
2299,Absent,0
2091,Present,1
2454,Present,1
2150,Absent,0
2586,Present,1
2488,Present,1
2707,Present,1
2042,Absent,0
