Promo,Discount,Eprice
1,40,4.03
1,40,4.43
1,40,4.4
1,40,4.35
1,40,4.49
1,40,4.62
1,40,4.35
1,40,4.1
1,40,4.24
1,40,4.52
1,30,3.45
1,30,3.65
1,30,3.78
1,30,4.37
1,30,3.88
1,30,4.54
1,30,4.36
1,30,4.52
1,30,4.19
1,30,4.31
1,20,4.82
1,20,4.47
1,20,4.46
1,20,4.36
1,20,4.43
1,20,4.41
1,20,4.47
1,20,4.54
1,20,4.61
1,20,5.12
1,10,5.07
1,10,4.76
1,10,4.66
1,10,4.77
1,10,4.57
1,10,4.84
1,10,4.88
1,10,4.81
1,10,4.98
1,10,4.66
3,40,4.12
3,40,4.18
3,40,4.3
3,40,4.28
3,40,4.62
3,40,4.38
3,40,4.22
3,40,4.52
3,40,4.65
3,40,4.07
3,30,4.2
3,30,3.94
3,30,4.2
3,30,3.88
3,30,4.35
3,30,3.99
3,30,4.01
3,30,4.22
3,30,3.7
3,30,4.48
3,20,4.88
3,20,4.8
3,20,4.46
3,20,4.73
3,20,3.96
3,20,4.42
3,20,4.3
3,20,4.68
3,20,4.45
3,20,4.56
3,10,4.9
3,10,5.15
3,10,4.68
3,10,4.98
3,10,4.66
3,10,4.46
3,10,4.7
3,10,4.37
3,10,4.69
3,10,4.97
5,40,3.94
5,40,4.23
5,40,3.87
5,40,4.14
5,40,3.99
5,40,4.46
5,40,4.19
5,40,4.2
5,40,4.11
5,40,3.95
5,30,3.9
5,30,3.77
5,30,3.86
5,30,4.1
5,30,4.1
5,30,3.81
5,30,3.97
5,30,3.67
5,30,4.05
5,30,3.67
5,20,4.11
5,20,4.35
5,20,4.17
5,20,4.11
5,20,4.02
5,20,4.41
5,20,4.48
5,20,3.76
5,20,4.66
5,20,4.44
5,10,4.31
5,10,4.36
5,10,4.75
5,10,4.62
5,10,3.74
5,10,4.34
5,10,4.52
5,10,4.37
5,10,4.4
5,10,4.52
7,40,3.61
7,40,3.96
7,40,4.1
7,40,3.96
7,40,4.16
7,40,3.66
7,40,3.77
7,40,3.74
7,40,3.84
7,40,3.5
7,30,3.45
7,30,4.06
7,30,3.35
7,30,3.67
7,30,3.74
7,30,3.8
7,30,3.9
7,30,4.08
7,30,3.52
7,30,4.03
7,20,3.89
7,20,4.45
7,20,3.8
7,20,4.15
7,20,4.41
7,20,3.75
7,20,3.98
7,20,4.07
7,20,4.21
7,20,4.23
7,10,4.04
7,10,4.22
7,10,4.39
7,10,3.89
7,10,4.26
7,10,4.41
7,10,4.39
7,10,4.52
7,10,3.87
7,10,4.7
